Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
1000,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$31243262,True,24.89%,-37.84%,0.66,12.71,297,56.23%,27.60%,58.20%,11.71%,254.35,74.82,3.24,15.09%,2.47,94.30%,124.36%,94.40%,133.73%,79.96%,21.63%,17.27%,15.45%,10.05%,-37.84%,-27.80%,-25.28%,-8.59%,-4.84%,2.90,0.82,250,175,12,0.025,37,240
0999,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$3323989,True,14.61%,-40.20%,0.36,15.13,433,43.88%,12.05%,35.85%,6.56%,202.29,56.44,2.26,11.56%,1.97,94.28%,134.64%,94.49%,137.19%,13.03%,4.17%,5.34%,2.63%,1.75%,-40.20%,-26.86%,-18.62%,-10.60%,-6.97%,1.38,0.51,250,175,12,0.015,37,240
0998,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$3323989,True,14.61%,-40.20%,0.36,15.13,433,43.88%,12.05%,35.85%,6.56%,202.29,56.44,2.26,11.56%,1.97,94.28%,134.64%,94.49%,137.19%,13.03%,4.17%,5.34%,2.63%,1.75%,-40.20%,-26.86%,-18.62%,-10.60%,-6.97%,1.38,0.51,250,175,12,0.015,37,180
0997,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$3304702,True,14.59%,-37.61%,0.39,12.98,413,46.00%,10.80%,31.37%,6.73%,206.80,60.48,2.24,11.57%,1.97,92.95%,129.44%,93.16%,131.87%,11.20%,3.60%,5.67%,2.71%,1.80%,-37.61%,-23.70%,-16.20%,-8.69%,-4.75%,1.68,0.56,250,175,11,0.015,37,180
0996,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$86714649,True,29.90%,-46.40%,0.64,15.78,295,53.90%,36.60%,81.17%,15.50%,257.96,100.39,3.07,22.98%,1.95,100.28%,137.23%,100.32%,157.26%,58.69%,16.64%,13.39%,19.08%,12.35%,-46.40%,-40.28%,-37.40%,-11.28%,-8.06%,2.65,0.72,250,175,11,0.04,37,180
0995,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$57501235,True,27.86%,-47.55%,0.59,18.77,310,51.94%,34.21%,82.51%,17.97%,262.35,88.70,2.21,24.24%,1.77,102.27%,135.32%,102.31%,162.52%,57.23%,16.28%,6.51%,15.66%,10.18%,-47.55%,-45.82%,-42.15%,-14.11%,-11.76%,1.97,0.62,250,200,11,0.045,37,180
0994,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$156952513,True,32.72%,-48.80%,0.67,17,475,46.53%,21.26%,60.61%,12.98%,175.38,56.42,2.46,24.35%,1.96,99.57%,151.72%,99.62%,158.67%,83.64%,22.46%,22.08%,27.70%,17.71%,-48.80%,-44.44%,-35.81%,-12.61%,-10.55%,2.59,0.76,150,200,11,0.045,37,180
0993,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$51681229,True,27.19%,-37.16%,0.73,12.59,485,49.28%,16.76%,43.97%,9.67%,168.66,51.02,2.53,16.52%,2.45,95.90%,125.06%,96.01%,130.19%,23.54%,7.30%,10.42%,18.65%,12.08%,-37.16%,-28.95%,-21.71%,-8.57%,-5.28%,3.17,0.93,150,200,11,0.03,37,180
0992,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,$3304702,True,14.59%,-37.61%,0.39,12.98,413,46.00%,10.80%,31.37%,6.73%,206.80,60.48,2.24,11.57%,1.97,92.95%,129.44%,93.16%,131.87%,11.20%,3.60%,5.67%,2.71%,1.80%,-37.61%,-23.70%,-16.20%,-8.69%,-4.75%,1.68,0.56,250,200,11,0.015,37,240
0991,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$3338942,True,14.59%,-25.68%,0.57,10.77,628,44.90%,6.92%,22.04%,5.40%,135.33,36.01,2.07,10.42%,2.20,90.50%,118.69%,90.75%,123.01%,6.69%,2.18%,3.44%,5.11%,3.38%,-25.68%,-25.53%,-16.24%,-7.50%,-4.67%,1.94,0.65,150,200,11,0.015,37,240
