Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh
0625,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 53589219,TRUE,27.49%,-62.97%,0.44,22.66,313,46.33%,32.67%,91.45%,18.05%,270.98,91.43,2.41,27.99%,1.54,103.74%,154.97%,103.74%,206.01%,75.07%,20.52%,9.23%,20.88%,13.48%,-62.97%,-40.91%,-37.89%,-17.54%,-14.88%,1.57,0.58,250,250,12,0.055
0624,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 65017814,TRUE,28.34%,-56.86%,0.5,21.28,351,44.16%,30.40%,89.94%,16.68%,259.02,77.3,2.07,27.29%,1.61,102.71%,153.37%,102.71%,182.93%,48.18%,14.01%,5.70%,20.32%,13.12%,-56.86%,-40.52%,-39.02%,-16.59%,-15.08%,1.71,0.62,225,250,12,0.055
0623,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 46788915,TRUE,26.73%,-50.34%,0.53,17.23,382,45.03%,25.84%,75.95%,15.21%,224.66,67.3,2.06,26.94%,1.55,101.06%,153.06%,101.07%,165.75%,48.24%,14.02%,8.73%,19.90%,12.86%,-50.34%,-39.33%,-38.67%,-13.70%,-13.06%,1.95,0.62,200,250,12,0.055
0622,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 85563421,TRUE,29.70%,-46.80%,0.63,16.11,456,42.76%,22.53%,71.33%,13.93%,201.17,52.88,1.77,25.77%,1.75,100.19%,146.09%,100.20%,154.27%,52.26%,15.04%,8.49%,19.91%,12.87%,-46.80%,-43.56%,-42.06%,-12.28%,-10.44%,2.42,0.67,175,250,12,0.055
0621,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6721,AUD 62293558,TRUE,28.13%,-50.88%,0.55,19.85,520,40.58%,17.42%,62.56%,13.40%,177.94,50.48,1.79,26.14%,1.62,99.05%,149.03%,99.05%,162.29%,76.11%,20.76%,9.77%,19.32%,12.50%,-50.88%,-50.17%,-39.32%,-15.56%,-14.87%,1.81,0.6,150,250,12,0.055
0620,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 27432179,TRUE,24.24%,-65.67%,0.37,25.24,313,46.65%,29.21%,84.55%,19.18%,265.33,94.92,2.46,27.93%,1.4,102.20%,154.56%,102.21%,189.77%,96.48%,25.25%,11.24%,21.65%,13.96%,-65.67%,-46.82%,-40.74%,-20.12%,-18.11%,1.2,0.47,250,225,12,0.055
0619,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 24370427,TRUE,23.60%,-57.78%,0.41,21.47,354,44.07%,22.67%,72.77%,16.80%,247.28,81.72,2.15,26.41%,1.41,101.61%,157.68%,101.63%,174.15%,57.76%,16.41%,10.29%,20.54%,13.26%,-57.78%,-42.96%,-42.90%,-16.75%,-14.87%,1.41,0.49,225,225,12,0.055
0618,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 61823827,TRUE,28.10%,-58.25%,0.48,23.28,383,46.21%,27.09%,76.67%,15.51%,218.32,70.24,2.62,27.74%,1.58,99.93%,142.86%,99.94%,180.01%,83.77%,22.49%,16.66%,23.05%,14.83%,-58.25%,-42.50%,-39.76%,-18.10%,-16.41%,1.55,0.6,200,225,12,0.055
0617,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 73189592,TRUE,28.93%,-56.28%,0.51,19.45,449,43.21%,20.82%,67.31%,14.54%,199.94,58.27,1.75,26.64%,1.66,99.63%,141.26%,99.65%,161.72%,24.97%,7.71%,6.21%,19.30%,12.48%,-56.28%,-46.87%,-37.30%,-15.02%,-13.61%,1.93,0.62,175,225,12,0.055
0616,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,AUD 80360726,TRUE,29.36%,-57.80%,0.51,21.92,512,41.21%,18.67%,65.50%,14.15%,179.27,51.87,1.78,26.98%,1.65,99.65%,149.17%,99.66%,181.33%,52.16%,15.02%,9.17%,27.16%,17.37%,-57.80%,-45.44%,-38.56%,-17.02%,-15.00%,1.72,0.62,150,225,12,0.055
