Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0001,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$152326,True,13.70%,-37.08%,0.37,16.41,136,45.59%,9.41%,38.61%,15.06%,166.03,71.57,1.81,25.99%,0.96,97.03%,128.99%,97.19%,134.01%,89.59%,23.77%,14.74%,0.00%,0.00%,-37.08%,-31.04%,-22.78%,-13.10%,-11.36%,1.05,0.45,200,200,10,0.045,50,200
0002,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$30035,True,3.78%,-36.22%,0.10,15,168,44.64%,2.25%,21.09%,12.93%,134.72,59.32,1.17,20.44%,0.42,96.90%,131.79%,97.15%,134.20%,-9.99%,-3.45%,-1.48%,0.00%,0.00%,-36.22%,-31.11%,-22.26%,-12.64%,-11.35%,0.30,0.13,175,200,10,0.04,50,200
0003,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$197160,True,16.38%,-50.16%,0.33,25.1,164,39.63%,8.03%,44.89%,16.17%,149.37,62.35,1.76,33.41%,0.97,106.54%,146.24%,106.68%,154.24%,89.35%,23.72%,24.97%,0.00%,0.00%,-50.16%,-42.38%,-29.67%,-21.39%,-22.62%,0.77,0.40,175,200,9,0.05,50,200
0004,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$403488,True,25.20%,-47.66%,0.53,21.63,161,40.37%,12.57%,54.88%,16.08%,152.12,62.72,2.34,34.51%,1.29,106.28%,143.39%,106.41%,145.19%,158.98%,37.33%,35.72%,0.00%,0.00%,-47.66%,-36.44%,-36.00%,-17.73%,-17.86%,1.42,0.63,175,200,8,0.05,50,200
0005,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$49594,True,5.70%,-27.35%,0.21,13.68,185,47.03%,2.84%,17.14%,9.84%,119.63,50.58,1.41,15.88%,0.65,94.77%,119.24%,95.14%,121.00%,37.16%,11.11%,3.05%,0.00%,0.00%,-27.35%,-26.34%,-23.01%,-11.23%,-11.42%,0.51,0.22,175,200,8,0.03,50,200
0006,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$24880,True,3.07%,-28.18%,0.11,15.29,187,44.39%,1.63%,15.64%,9.56%,118.60,52.58,1.22,15.10%,0.42,93.70%,114.94%,94.07%,118.21%,23.61%,7.32%,0.81%,0.00%,0.00%,-28.18%,-26.95%,-24.93%,-13.15%,-14.16%,0.23,0.12,175,250,10,0.03,50,200
0007,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$43911,True,5.12%,-24.43%,0.21,12.83,212,42.45%,2.11%,15.75%,7.94%,108.71,47.32,1.38,15.04%,0.63,95.47%,114.10%,95.86%,119.48%,36.02%,10.80%,4.32%,0.00%,0.00%,-24.43%,-23.17%,-22.06%,-10.70%,-10.24%,0.48,0.22,150,250,10,0.03,50,200
0008,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$14614,True,2.06%,-25.93%,0.08,13.65,230,44.78%,0.79%,9.85%,6.55%,95.65,43.97,1.17,10.60%,0.34,92.03%,115.23%,92.54%,117.29%,29.96%,9.13%,1.31%,0.00%,0.00%,-25.93%,-17.30%,-5.74%,-11.86%,-11.62%,0.17,0.13,150,250,10,0.02,50,200
0009,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$40703,True,5.00%,-16.96%,0.29,7.95,201,47.26%,1.92%,11.32%,6.50%,105.60,51.42,1.53,11.26%,0.70,92.80%,118.21%,93.28%,121.53%,44.34%,13.01%,5.50%,0.00%,0.00%,-16.96%,-16.15%,-10.96%,-6.56%,-6.22%,0.76,0.34,175,250,10,0.02,50,200
0010,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$46047,True,5.54%,-22.49%,0.25,9.95,198,46.46%,2.37%,14.65%,8.29%,111.38,51.24,1.43,13.28%,0.70,93.91%,122.45%,94.35%,124.25%,43.64%,12.83%,5.05%,0.00%,0.00%,-22.49%,-19.10%,-17.92%,-7.93%,-6.94%,0.70,0.28,175,250,10,0.025,50,200
0011,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$83065,True,8.60%,-35.67%,0.24,18.21,165,43.03%,4.48%,24.79%,10.87%,138.04,58.71,1.53,19.86%,0.80,97.02%,122.52%,97.29%,126.08%,26.76%,8.22%,7.01%,0.00%,0.00%,-35.67%,-32.28%,-17.44%,-15.32%,-14.80%,0.56,0.30,175,250,10,0.035,50,200
0012,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$120360,True,11.42%,-25.19%,0.45,11.98,195,46.67%,4.61%,20.49%,9.28%,112.35,50.10,1.78,18.54%,1.05,96.05%,122.57%,96.36%,125.31%,37.07%,11.08%,7.97%,0.00%,0.00%,-25.19%,-24.45%,-22.52%,-9.46%,-7.83%,1.21,0.47,150,250,10,0.035,50,200
0013,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$120557,True,11.43%,-27.06%,0.42,13.42,192,46.35%,4.80%,21.59%,9.72%,116.24,50.36,1.75,19.15%,1.03,96.90%,122.57%,97.20%,125.31%,37.27%,11.14%,8.30%,0.00%,0.00%,-27.06%,-25.10%,-24.45%,-10.89%,-9.86%,1.05,0.45,150,175,11,0.035,50,200
0014,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$144313,True,13.02%,-29.89%,0.44,14.48,189,46.56%,5.45%,22.53%,9.44%,120.51,53.05,1.89,19.64%,1.13,97.17%,122.49%,97.46%,125.15%,41.99%,12.40%,9.94%,0.00%,0.00%,-29.89%,-26.87%,-23.49%,-11.57%,-10.29%,1.13,0.49,150,250,12,0.035,50,200
0015,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$122725,True,11.63%,-26.95%,0.43,13.11,198,44.44%,4.66%,22.21%,9.39%,115.34,48.50,1.72,18.45%,1.07,96.81%,126.72%,97.11%,129.81%,35.31%,10.60%,7.13%,0.00%,0.00%,-26.95%,-24.45%,-24.17%,-10.61%,-9.70%,1.10,0.46,150,250,9,0.035,50,200
0016,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$144313,True,13.02%,-29.89%,0.44,14.48,189,46.56%,5.45%,22.53%,9.44%,120.51,53.05,1.89,19.64%,1.13,97.17%,122.49%,97.46%,125.15%,41.99%,12.40%,9.94%,0.00%,0.00%,-29.89%,-26.87%,-23.49%,-11.57%,-10.29%,1.13,0.49,150,200,12,0.035,50,200
0017,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$131739,True,12.24%,-26.95%,0.45,13.34,201,43.28%,4.76%,23.81%,9.78%,117.25,49.48,1.73,18.75%,1.11,97.78%,127.56%,98.08%,132.18%,49.10%,14.24%,7.42%,0.00%,0.00%,-26.95%,-25.20%,-24.70%,-10.98%,-10.80%,1.12,0.48,150,200,8,0.035,50,200
0018,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$131739,True,12.24%,-26.95%,0.45,13.34,201,43.28%,4.76%,23.81%,9.78%,117.25,49.48,1.73,18.75%,1.11,97.78%,127.56%,98.08%,132.18%,49.10%,14.24%,7.42%,0.00%,0.00%,-26.95%,-25.20%,-24.70%,-10.98%,-10.80%,1.12,0.48,150,250,8,0.035,50,200
0019,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$76800,True,8.11%,-37.77%,0.21,22.89,166,41.57%,4.21%,25.48%,10.92%,138.07,59.06,1.54,19.17%,0.78,96.10%,122.98%,96.35%,126.64%,49.90%,14.45%,7.84%,0.00%,0.00%,-37.77%,-22.83%,-17.65%,-20.26%,-21.66%,0.40,0.31,175,250,9,0.035,50,200
0020,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$28326,True,3.62%,-18.85%,0.19,8.9,248,42.74%,1.19%,8.67%,4.39%,97.52,34.00,1.38,8.33%,0.66,86.49%,107.13%,87.01%,108.07%,17.07%,5.39%,0.28%,0.00%,0.00%,-18.85%,-17.76%,-8.07%,-6.69%,-4.39%,0.54,0.24,150,200,8,0.015,50,200
0021,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$49688,True,5.80%,-17.08%,0.34,7.56,202,44.06%,2.25%,10.86%,4.53%,110.58,45.63,1.83,8.23%,1.09,87.10%,115.44%,87.64%,117.13%,38.36%,11.43%,4.30%,0.00%,0.00%,-17.08%,-15.55%,-7.26%,-5.48%,-3.23%,1.06,0.44,200,200,8,0.015,50,200
0022,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$82255,True,8.53%,-43.57%,0.20,17.9,131,47.33%,5.61%,26.67%,13.32%,169.24,74.93,1.63,20.38%,0.77,98.74%,126.10%,98.99%,133.56%,42.97%,12.65%,6.62%,0.00%,0.00%,-43.57%,-31.41%,-27.95%,-14.60%,-13.99%,0.58,0.25,250,200,12,0.035,50,200
